node_1|node_2|edge|chunk_id|example
practice standard for project risk management|project management practitioners|is applicable to|9296cc65ba44446dbbf42a5725de359c|
practice standard for project risk management|other stakeholders|is applicable to|9296cc65ba44446dbbf42a5725de359c|
practice standard for project risk management|aspects of project risk management that are recognized as good practice on most projects most of the time|defines|9296cc65ba44446dbbf42a5725de359c|
practice standard for project risk management|globally applicable and consistently applied standard|provides|9296cc65ba44446dbbf42a5725de359c|
practice standard for project risk management|chapter 11 of the pmbok guide fourth edition|is based on|9296cc65ba44446dbbf42a5725de359c|
practice standard for project risk management|concepts and principles relating to project risk|emphasizes|9296cc65ba44446dbbf42a5725de359c|
practice standard for project risk management|project risk management|covers|9296cc65ba44446dbbf42a5725de359c|
project risk management|single projects only|applies to|9296cc65ba44446dbbf42a5725de359c|
practice standard for project risk management|risk in programs or portfolios of projects|does not cover|9296cc65ba44446dbbf42a5725de359c|
edition|practice standard for project risk management|is the basis for|c463b4c99e454549a4e0f5ee1c906609|
practice standard for project risk management|project management institute (pmi)|is consistent with|c463b4c99e454549a4e0f5ee1c906609|
chapter 1|pmbok guide fourth edition|emphasizing the concepts and principles relating to|c463b4c99e454549a4e0f5ee1c906609|
project risk management processes|pmbok guide fourth edition|as defined in|c463b4c99e454549a4e0f5ee1c906609|
figure 1.1|purposes of this practice standard|compares the purposes to|c463b4c99e454549a4e0f5ee1c906609|
figure 1.1|purposes of pmbok guide fourth edition|compares the purposes to|c463b4c99e454549a4e0f5ee1c906609|
figure 1.1|textbooks, handbooks and courses|compares the purposes to|c463b4c99e454549a4e0f5ee1c906609|
practice standard|three main sections|is organized in|c463b4c99e454549a4e0f5ee1c906609|
section 1|introductory material|includes|c463b4c99e454549a4e0f5ee1c906609|
section 2|principles underlying the six project risk management processes|covers|c463b4c99e454549a4e0f5ee1c906609|
six project risk management processes|pmbok guide fourth edition|are as follows|c463b4c99e454549a4e0f5ee1c906609|
guide fourth edition|six processes|is associated with|f69a553dfbd94af7859d66fca7974968|
six processes|plan risk management|is one of|f69a553dfbd94af7859d66fca7974968|
six processes|identify risks|is one of|f69a553dfbd94af7859d66fca7974968|
six processes|perform qualitative risk analysis|is one of|f69a553dfbd94af7859d66fca7974968|
six processes|perform quantitative risk analysis|is one of|f69a553dfbd94af7859d66fca7974968|
six processes|plan risk responses|is one of|f69a553dfbd94af7859d66fca7974968|
six processes|monitor and control risks|is one of|f69a553dfbd94af7859d66fca7974968|
each of these six processes|a purpose and objectives of the process|has a|f69a553dfbd94af7859d66fca7974968|
each of these six processes|critical success factors for the process|has|f69a553dfbd94af7859d66fca7974968|
each of these six processes|tools and techniques for the process|uses|f69a553dfbd94af7859d66fca7974968|
each of these six processes|documenting the results of the process|produces|f69a553dfbd94af7859d66fca7974968|
this practice standard|glossary of terms|contains|f69a553dfbd94af7859d66fca7974968|
the principles that are fundamental to effective, comprehensive, and successful project risk management|guide fourth edition|is described in|f69a553dfbd94af7859d66fca7974968|
project risk management principles|applicability in a global context|applies to|bf690b9478a54d53a79d0e86bb63397c|
project risk management principles|business and organizational arrangements between participants (e.g., joint ventures, government and non-government organizations)|applies to|bf690b9478a54d53a79d0e86bb63397c|
project risk management|large projects|applies to|bf690b9478a54d53a79d0e86bb63397c|
project risk management|small projects|applies to|bf690b9478a54d53a79d0e86bb63397c|
project risk management practice|project|is applied to|bf690b9478a54d53a79d0e86bb63397c|
tailoring of project risk management practice|project|is tailored for|bf690b9478a54d53a79d0e86bb63397c|
effectiveness of project risk management|organizational culture, processes, and assets|is more effective when congruent with|bf690b9478a54d53a79d0e86bb63397c|
compliance with the principles of project risk management|different ways of conducting risk management|complies with|bf690b9478a54d53a79d0e86bb63397c|
business and organizational arrangements|joint ventures|is an example of|fa5aee74a734410aa945cc3d6a0ab4b9|
business and organizational arrangements|commercial companies|one of the participants|fa5aee74a734410aa945cc3d6a0ab4b9|
business and organizational arrangements|national companies|one of the participants|fa5aee74a734410aa945cc3d6a0ab4b9|
business and organizational arrangements|government organizations|one of the participants|fa5aee74a734410aa945cc3d6a0ab4b9|
business and organizational arrangements|non-government organizations|one of the participants|fa5aee74a734410aa945cc3d6a0ab4b9|
project teams|business and organizational arrangements|context in which they operate|fa5aee74a734410aa945cc3d6a0ab4b9|
cross cultural environment|project teams|often found on these project teams|fa5aee74a734410aa945cc3d6a0ab4b9|
principles described herein|organization's processes|can be used as a check|fa5aee74a734410aa945cc3d6a0ab4b9|
practitioners|principles described herein|can establish processes based on|fa5aee74a734410aa945cc3d6a0ab4b9|
