text|source|chunk_id
1.1 purpose of the practice standard for project risk management the purpose of the practice standard for project risk management is to a provide a standard for project management practitioners and other stakeholders that defines the aspects of project risk management that are recognized as good practice on most projects most of the time and b provide a standard that is globally applicable and consistently applied. this practice standard has a descriptive purpose rather than one used for training or educational purposes. the practice standard for project risk management covers risk management as it is applied to single projects only. like the pmbok guide fourth edition this practice standard does not cover risk in programs or portfolios of projects. chapter 11 of the pmbok guide fourth edition is the basis for the practice standard for project risk management . this practice standard is consistent with that chapter emphasizing the concepts and principles relating to project risk|TEXT_data\1_INTRODUCTION_1.1_Purpose_of_the_Practice_Standard_for_Project_Risk_Management.txt|9296cc65ba44446dbbf42a5725de359c
edition is the basis for the practice standard for project risk management . this practice standard is consistent with that chapter emphasizing the concepts and principles relating to project risk management. it is aligned with other pmi practice standards. figure 1 1 compares the purposes of this practice standard to those of the pmbok guide fourth edition and textbooks handbooks and courses. figure 1 1. hierarchy of pmi project risk management resources chapter 1 introduction this practice standard is organized in three main sections 1. introductory material including the framework purpose principles context of and introduction to project risk management processes as defined in the pmbok guide fourth edition. 2. principles underlying the six project risk management processes in the pmbok guide fourth edition. the six processes are as follows plan risk management identify risks perform qualitative risk analysis perform quantitative risk analysis plan risk responses and monitor and|TEXT_data\1_INTRODUCTION_1.1_Purpose_of_the_Practice_Standard_for_Project_Risk_Management.txt|c463b4c99e454549a4e0f5ee1c906609
guide fourth edition. the six processes are as follows plan risk management identify risks perform qualitative risk analysis perform quantitative risk analysis plan risk responses and monitor and control risks. each of these six processes is described in a chapter that addresses the following four topics a purpose and objectives of the process b critical success factors for the process c tools and techniques for the process and d documenting the results of the process. 3. a glossary of terms which are used in this practice standard. this practice standard emphasizes those principles that are fundamental to effective comprehensive and successful project risk management. these principles can and should be stated at a general level for several reasons 1. principles are expected to be agreed upon now and to be valid in the future. while tools and techniques are constantly evolving the principles have more stability and persistence. 2. different projects organizations and situations will|TEXT_data\1_INTRODUCTION_1.1_Purpose_of_the_Practice_Standard_for_Project_Risk_Management.txt|f69a553dfbd94af7859d66fca7974968
upon now and to be valid in the future. while tools and techniques are constantly evolving the principles have more stability and persistence. 2. different projects organizations and situations will require different approaches to project risk management. in particular risk management is a discipline that contains a series of processes to apply to both large and small projects. risk management will be more effective if its practice is tailored to the project and congruent with the organizational culture processes and assets. there are many different ways of conducting risk management that may comply with the principles of project risk management as presented in this practice standard. 3. the principles are applicable to projects carried out in a global context refl ecting the many business and organizational arrangements between participants for example joint ventures between commercial and national companies government and non government organizations and the cross cultural|TEXT_data\1_INTRODUCTION_1.1_Purpose_of_the_Practice_Standard_for_Project_Risk_Management.txt|bf690b9478a54d53a79d0e86bb63397c
business and organizational arrangements between participants for example joint ventures between commercial and national companies government and non government organizations and the cross cultural environment often found on these project teams. the principles described herein can be used as a check for an organization s processes. practitioners can establish processes specific to their particular situation project or organization and then compare them with these principles thus validating them against good project risk management practice. chapter 1 introduction|TEXT_data\1_INTRODUCTION_1.1_Purpose_of_the_Practice_Standard_for_Project_Risk_Management.txt|fa5aee74a734410aa945cc3d6a0ab4b9
1.2 project risk management definition the definition of project risk management as defined in the pmbok guide fourth edition is the basis for this practice standard project risk management includes the processes concerned with conducting risk management planning identification analysis responses and monitoring and control on a project. the pmbok guide fourth edition also states the objectives of project risk management are to increase the probability and impact of positive events and decrease the probability and impact of negative events in the project. in the pmbok guide fourth edition project risk is an uncertain event or condition that if it occurs has a positive or negative effect on a project s objectives. project objectives include scope schedule cost and quality. project risk management aims to identify and prioritize risks in advance of their occurrence and provide action oriented information to project managers. this orientation requires consideration of events that may or|TEXT_data\1_INTRODUCTION_1.2_Project_Risk_Management_Definition.txt|e8160efae3a34db9a55edfc509091a31
aims to identify and prioritize risks in advance of their occurrence and provide action oriented information to project managers. this orientation requires consideration of events that may or may not occur and are therefore described in terms of likelihood or probability of occurrence in addition to other dimensions such as their impact on objectives.|TEXT_data\1_INTRODUCTION_1.2_Project_Risk_Management_Definition.txt|6c74a26583a2456ea639d30eb1cb5dc4
1.2 project risk management definition the definition of project risk management as defined in the pmbok guide fourth edition is the basis for this practice standard project risk management includes the processes concerned with conducting risk management planning identification analysis responses and monitoring and control on a project. the pmbok guide fourth edition also states the objectives of project risk management are to increase the probability and impact of positive events and decrease the probability and impact of negative events in the project. in the pmbok guide fourth edition project risk is an uncertain event or condition that if it occurs has a positive or negative effect on a project s objectives. project objectives include scope schedule cost and quality. project risk management aims to identify and prioritize risks in advance of their occurrence and provide action oriented information to project managers. this orientation requires consideration of events that may or|TEXT_data\1_INTRODUCTION_1.2_Project_Risk_Management_Defi_nition.txt|c83172944116436eb1594eb46bf86e6b
aims to identify and prioritize risks in advance of their occurrence and provide action oriented information to project managers. this orientation requires consideration of events that may or may not occur and are therefore described in terms of likelihood or probability of occurrence in addition to other dimensions such as their impact on objectives.|TEXT_data\1_INTRODUCTION_1.2_Project_Risk_Management_Defi_nition.txt|0c2429fe8d9f4f1e973b312ea0dcbda7
1.3 role of project risk management in project management project risk management is not an optional activity it is essential to successful project management. it should be applied to all projects and hence be included in project plans and operational documents. in this way it becomes an integral part of every aspect of managing the project in every phase and in every process group. many of the project management processes address planning the project from concept to final design and from procurement through daily management of execution and close out. these processes often assume an unrealistic degree of certainty about the project and therefore they need to include treatment of project risks. project risk management addresses the uncertainty in project estimates and assumptions. therefore it builds upon and extends other project management processes. for instance project scheduling provides dates and critical paths based on activity durations and resource availability assumed to be|TEXT_data\1_INTRODUCTION_1.3_Role_of_Project_Risk_Management_in_Project_Management.txt|c90814c0131b47599b8ec23cc69bdd08
